# TIMING — « Je crache les démons » (Daïsky · Prod TechStein)
# Source: 'Je crache les démons.txt' (timestamps artiste = FIN de vers ; start = fin du vers précédent)
# Audio: Je crache mes démons.mp3 · 210.02 s (3:30.02) · -13.9 LUFS · TP -1.3 dBFS · dernier son utile 207.82 s
# Endcard: 210.0 -> 215.0 (apad 5 s, fade out 3 s)
# CORRECTION v1: ligne 05 'Je me relève...' -0:36.5 -> -0:27.0 (hors chronologie dans le .txt ; aligné sur le refrain 2 : 1:25.0)
# idx | slot | section | start | end | texte

30 | s03 | REFRAIN        |  87.50 |  89.50 | Je crache, je crache, mes démons dans la nuit
31 | s04 | REFRAIN        |  89.50 |  92.50 | Je crache, je crache, tous les mensonges qu'on m'a dit
32 | s05 | REFRAIN        |  92.50 |  94.50 | Je me relève, je me relève, même quand tout est fini
33 | s06 | REFRAIN        |  94.50 |  97.50 | J'ai survécu, j'ai survécu, personne ne m'a trahi
34 | s07 | REFRAIN        |  97.50 | 100.00 | Wolof TechStein beat wê!
35 | s22 | COUPLET 2      | 100.00 | 102.50 | J'ai marché sur des verres brisés pour arriver là
36 | s23 | COUPLET 2      | 102.50 | 105.00 | J'ai perdu des amis en chemin, mais je ne pleure pas
37 | s24 | COUPLET 2      | 105.00 | 107.50 | Leur absence m'a forgé, leur trahison m'a soudé
38 | s25 | COUPLET 2      | 107.50 | 109.50 | Maintenant je suis une armée, je suis mon propre chef
39 | s26 | COUPLET 2      | 109.50 | 112.50 | Ils veulent me voir tomber, ils prient pour mon échec
40 | s27 | COUPLET 2      | 112.50 | 115.00 | Mais chaque pas que je fais est un pas vers le sommet
41 | s28 | COUPLET 2      | 115.00 | 118.00 | Je n'ai plus peur du vide, plus peur de la nuit
42 | s29 | COUPLET 2      | 118.00 | 120.00 | La douleur m'a appris à briller sans bruit
43 | s30 | COUPLET 2      | 120.00 | 122.60 | Je suis le fils des tempêtes, l'enfant des blessures
44 | s31 | COUPLET 2      | 122.60 | 125.00 | Mais j'ai transformé mes plaies en armure
45 | s18 | PRÉ-REFRAIN    | 125.00 | 131.50 | Ils m'ont vu à genoux, ils ont cru que c'était fini
46 | s19 | PRÉ-REFRAIN    | 131.50 | 134.50 | Mais ils ne savent pas que je suis né pour la vie
47 | s20 | PRÉ-REFRAIN    | 134.50 | 137.50 | Le feu dans mes veines, la rage dans mes poings
48 | s21 | PRÉ-REFRAIN    | 137.50 | 139.50 | Je suis le phénix, je renais de mes cendres
49 | s32 | PONT           | 139.50 | 142.50 | Je suis tombé, je me suis relevé
50 | s33 | PONT           | 142.50 | 144.50 | J'ai pleuré, j'ai appris à sourire
51 | s34 | PONT           | 144.50 | 148.50 | J'ai perdu, j'ai gagné, j'ai traversé la nuit
52 | s35 | PONT           | 148.50 | 149.50 | Maintenant je sais qui je suis
53 | s36 | PONT           | 149.50 | 154.50 | Je ne suis pas un héros, je ne suis pas une légende
54 | s37 | PONT           | 154.50 | 162.00 | Juste un homme qui a refusé de se rendre
55 | s03 | REFRAIN FINAL  | 162.00 | 164.50 | Je crache, je crache, mes démons dans la nuit
56 | s04 | REFRAIN FINAL  | 164.50 | 166.50 | Je crache, je crache, tous les mensonges qu'on m'a dit
57 | s05 | REFRAIN FINAL  | 166.50 | 169.50 | Je me relève, je me relève, même quand tout est fini
58 | s06 | REFRAIN FINAL  | 169.50 | 172.00 | J'ai survécu, j'ai survécu, personne ne m'a trahi
59 | s03 | REFRAIN FINAL  | 172.00 | 174.50 | Je crache, je crache, mes démons dans la nuit
60 | s04 | REFRAIN FINAL  | 174.50 | 177.00 | Je crache, je crache, tous les mensonges qu'on m'a dit
61 | s05 | REFRAIN FINAL  | 177.00 | 179.00 | Je me relève, je me relève, même quand tout est fini
62 | s06 | REFRAIN FINAL  | 179.00 | 182.00 | J'ai survécu, j'ai survécu, personne ne m'a trahi
63 | s07 | REFRAIN FINAL  | 182.00 | 186.00 | Wolof TechStein beat wê!
64 | s38 | OUTRO          | 186.00 | 191.50 | Wolof TechStein beat wê...
65 | s39 | OUTRO          | 191.50 | 201.00 | (Je crache... je me relève...)

# lignes uniques: 39 -> budget 9:16 = 39+2 = 41 images (5 salves de 10)
# slot s00 = fond intro musicale · s40 = endcard
